lon,lat,Company,Timestamp
-77.042591,38.910385,Bird,3/1/2019 7:00
-77.03428,38.926252,Bird,3/1/2019 7:00
-77.03325,38.91358,Bird,3/1/2019 7:00
-77.033739,38.899909,Bird,3/1/2019 7:00
-77.03329,38.903834,Bird,3/1/2019 7:00
-77.026693,38.902667,Bird,3/1/2019 7:00
-77.048506,38.904254,Bird,3/1/2019 7:00
-77.04571,38.906966,Bird,3/1/2019 7:00
-77.02196,38.887812,Bird,3/1/2019 7:00
-77.038539,38.903723,Bird,3/1/2019 7:00
-77.038481,38.903759,Bird,3/1/2019 7:00
-77.008827,38.880299,Bird,3/1/2019 7:00
-77.038084,38.915429,Bird,3/1/2019 7:00
-77.042272,38.921779,Bird,3/1/2019 7:00
-77.038926,38.901414,Bird,3/1/2019 7:00
-77.028337,38.901675,Bird,3/1/2019 7:00
-77.041427,38.902366,Bird,3/1/2019 7:00
-77.02584,38.954019,Bird,3/1/2019 7:00
-77.023614,38.917024,Bird,3/1/2019 7:00
-77.033356,38.925413,Bird,3/1/2019 7:00
-77.048981,38.905603,Bird,3/1/2019 7:00
-77.005757,38.896846,Bird,3/1/2019 7:00
-76.949104,38.895495,Bird,3/1/2019 7:00
-77.03334,38.905655,Bird,3/1/2019 7:00
-77.031897,38.913324,Bird,3/1/2019 7:00
-77.033545,38.903938,Bird,3/1/2019 7:00
-77.04413,38.905789,Bird,3/1/2019 7:00
-77.04674,38.920437,Bird,3/1/2019 7:00
-77.048528,38.889769,Bird,3/1/2019 7:00
-77.074218,38.906766,Bird,3/1/2019 7:00
-77.064712,38.905122,Bird,3/1/2019 7:00
-77.067174,38.903888,Bird,3/1/2019 7:00
-77.062832,38.90576,Bird,3/1/2019 7:00
-77.011464,38.895023,Bird,3/1/2019 7:00
-77.024226,38.936845,Bird,3/1/2019 7:00
-77.029433,38.917038,Bird,3/1/2019 7:00
-77.051522,38.899598,Bird,3/1/2019 7:00
-77.029514,38.906973,Bird,3/1/2019 7:00
-77.01492,38.879183,Bird,3/1/2019 7:00
-77.049954,38.903588,Bird,3/1/2019 7:00
-77.082792,38.907553,Bird,3/1/2019 7:00
-77.064761,38.905177,Bird,3/1/2019 7:00
-77.017016,38.905389,Bird,3/1/2019 7:00
-77.04477,38.898394,Bird,3/1/2019 7:00
-77.051009,38.896961,Bird,3/1/2019 7:00
-77.04209,38.921054,Bird,3/1/2019 7:00
-77.038584,38.902319,Bird,3/1/2019 7:00
-77.044257,38.909683,Bird,3/1/2019 7:00
-77.016606,38.902641,Bird,3/1/2019 7:00
-77.044237,38.894593,Bird,3/1/2019 7:00
-77.020013,38.885958,Bird,3/1/2019 7:00
-77.039373,38.902434,Bird,3/1/2019 7:00
-77.039522,38.903836,Bird,3/1/2019 7:00
-77.023815,38.897963,Bird,3/1/2019 7:00
-77.016662,38.902502,Bird,3/1/2019 7:00
-77.026284,38.904759,Bird,3/1/2019 7:00
-77.041729,38.916742,Bird,3/1/2019 7:00
-77.024311,38.936781,Bird,3/1/2019 7:00
-77.024344,38.936752,Bird,3/1/2019 7:00
-77.03468,38.907987,Bird,3/1/2019 7:00
-77.024029,38.902979,Bird,3/1/2019 7:00
-77.016865,38.902701,Bird,3/1/2019 7:00
-77.044804,38.898348,Bird,3/1/2019 7:00
-77.044777,38.898306,Bird,3/1/2019 7:00
-77.026031,38.916876,Bird,3/1/2019 7:00
-77.04701,38.912575,Bird,3/1/2019 7:00
-77.044306,38.915557,Bird,3/1/2019 7:00
-77.03179,38.916411,Bird,3/1/2019 7:00
-77.040104,38.905778,Bird,3/1/2019 7:00
-77.03842172,38.90378636,Bird,3/1/2019 7:00
-77.02828,38.892173,Bird,3/1/2019 7:00
-77.029449,38.898383,Bird,3/1/2019 7:00
-77.029588,38.898258,Bird,3/1/2019 7:00
-77.044225,38.900728,Bird,3/1/2019 7:00
-77.031824,38.908105,Bird,3/1/2019 7:00
-77.031898,38.908539,Bird,3/1/2019 7:00
-77.039673,38.909245,Bird,3/1/2019 7:00
-77.012897,38.908478,Bird,3/1/2019 7:00
-77.049045,38.905436,Bird,3/1/2019 7:00
-77.02828,38.892194,Bird,3/1/2019 7:00
-77.045902,38.910555,Bird,3/1/2019 7:00
-76.989695,38.865217,Bird,3/1/2019 7:00
-77.044921,38.916004,Bird,3/1/2019 7:00
-77.049895,38.89454,Bird,3/1/2019 7:00
-77.032252,38.892763,Bird,3/1/2019 7:00
-77.034666,38.90794,Bird,3/1/2019 7:00
-77.004941,38.876575,Bird,3/1/2019 7:00
-77.051428,38.905272,Bird,3/1/2019 7:00
-77.051383,38.905095,Bird,3/1/2019 7:00
-77.021457,38.909533,Bird,3/1/2019 7:00
-77.019685,38.901764,Bird,3/1/2019 7:00
-77.024316,38.936731,Bird,3/1/2019 7:00
-77.032556,38.902187,Bird,3/1/2019 7:00
-77.046657,38.912442,Bird,3/1/2019 7:00
-77.047316,38.898315,Bird,3/1/2019 7:00
-77.058477,38.935707,Bird,3/1/2019 7:00
-77.058423,38.935701,Bird,3/1/2019 7:00
-77.026019,38.944078,Bird,3/1/2019 7:00
-77.005738,38.908307,Bird,3/1/2019 7:00
-77.029429,38.906983,Bird,3/1/2019 7:00
-77.02825,38.892207,Bird,3/1/2019 7:00
-77.012555,38.915391,Bird,3/1/2019 7:00
-77.02948,38.907002,Bird,3/1/2019 7:00
-77.03215,38.902434,Bird,3/1/2019 7:00
-77.050031,38.903059,Bird,3/1/2019 7:00
-77.043284,38.908351,Bird,3/1/2019 7:00
-77.012917,38.950205,Bird,3/1/2019 7:00
-77.05912,38.906912,Bird,3/1/2019 7:00
-77.045874,38.910445,Bird,3/1/2019 7:00
-77.023808,38.909573,Bird,3/1/2019 7:00
-77.02636,38.908742,Bird,3/1/2019 7:00
-77.025665,38.907605,Bird,3/1/2019 7:00
-77.043314,38.919684,Bird,3/1/2019 7:00
-77.03631,38.903225,Bird,3/1/2019 7:00
-77.035579,38.902363,Bird,3/1/2019 7:00
-77.032188,38.913157,Bird,3/1/2019 7:00
-77.035706,38.907585,Bird,3/1/2019 7:00
-77.036549,38.936333,Bird,3/1/2019 7:00
-76.97785187,38.9280777,Helbiz,3/1/2019 7:00
-76.9776535,38.92793655,Helbiz,3/1/2019 7:00
-76.97766876,38.92793655,Helbiz,3/1/2019 7:00
-76.95252991,38.94073868,Helbiz,3/1/2019 7:00
-76.97776031,38.92800522,Helbiz,3/1/2019 7:00
-77.06327057,38.90765762,Helbiz,3/1/2019 7:00
-76.95209503,38.94036484,Helbiz,3/1/2019 7:00
-76.97766876,38.9280014,Helbiz,3/1/2019 7:00
-77.06298065,38.90575027,Helbiz,3/1/2019 7:00
-77.01101685,38.90658188,Helbiz,3/1/2019 7:00
-76.97768402,38.92793655,Helbiz,3/1/2019 7:00
-76.94755554,38.94329453,Helbiz,3/1/2019 7:00
-76.97758484,38.92790222,Helbiz,3/1/2019 7:00
-76.97769928,38.92790985,Helbiz,3/1/2019 7:00
-76.95217133,38.94053268,Helbiz,3/1/2019 7:00
-77.00515747,38.89673233,Helbiz,3/1/2019 7:00
-76.97782898,38.92810822,Helbiz,3/1/2019 7:00
-76.9777298,38.92797852,Helbiz,3/1/2019 7:00
-76.95310211,38.94091034,Helbiz,3/1/2019 7:00
-76.97774506,38.92804337,Helbiz,3/1/2019 7:00
-76.97763062,38.9279747,Helbiz,3/1/2019 7:00
-77.00515747,38.88063431,Helbiz,3/1/2019 7:00
-76.97773743,38.9281311,Helbiz,3/1/2019 7:00
-77.08169556,38.94113922,Helbiz,3/1/2019 7:00
-76.97771454,38.92790985,Helbiz,3/1/2019 7:00
-76.95359039,38.94049454,Helbiz,3/1/2019 7:00
-76.952034,38.9420433,Helbiz,3/1/2019 7:00
-76.97773743,38.92799377,Helbiz,3/1/2019 7:00
-76.97768402,38.92786407,Helbiz,3/1/2019 7:00
-76.97766876,38.92803574,Helbiz,3/1/2019 7:00
-77.03195953,38.90055466,Helbiz,3/1/2019 7:00
-76.97762299,38.92791367,Helbiz,3/1/2019 7:00
-76.95207977,38.94055557,Helbiz,3/1/2019 7:00
-76.97780609,38.92798615,Helbiz,3/1/2019 7:00
-76.99604797,38.90177536,Helbiz,3/1/2019 7:00
-76.95172119,38.94021225,Helbiz,3/1/2019 7:00
-76.95220184,38.94033051,Helbiz,3/1/2019 7:00
-76.97768402,38.92797089,Helbiz,3/1/2019 7:00
-76.97776794,38.92798996,Helbiz,3/1/2019 7:00
-76.97771454,38.92795944,Helbiz,3/1/2019 7:00
-76.97770691,38.92801666,Helbiz,3/1/2019 7:00
0,0,Helbiz,3/1/2019 7:00
